dataset,model,mean_rmse,min_rmse,max_rmse,std_rmse,mean_mae,min_mae,max_mae,std_mae,mean_r2,min_r2,max_r2,std_r2,n_seeds,n_train,n_test,n_features,n_intermediates,n_targets
combined_cycle_power_plant,ftt_mlp,4.097956067816648,4.039474620267961,4.192328966872512,0.05715418800014784,3.182457133185963,3.0837150371936914,3.2504169660601683,0.06732665165915044,0.9422790061866075,0.938543519841718,0.94466855764431,0.002335832611362966,5,6123,1914,3,1,1
combined_cycle_power_plant,simple_mlp,4.102700424194336,4.03819751739502,4.215821743011475,0.07161709867346631,3.1721487045288086,3.1275808811187744,3.2214508056640625,0.04142438035790469,0.9421347379684448,0.9378527998924256,0.945605218410492,0.0027802012488268584,5,6123,1914,3,1,1
concrete_slump_test,simple_mlp,2.52553551197052,1.9985429048538208,3.457115888595581,0.573317229195709,1.9932696342468261,1.385808348655701,2.709871530532837,0.49090181512974596,0.8897666335105896,0.7696095705032349,0.943756103515625,0.07132165439773379,5,65,21,7,2,1
concrete_slump_test,prism,2.5300546646118165,2.182177782058716,3.1037051677703857,0.382729533235298,1.98775475025177,1.436178207397461,2.464733600616455,0.38973772990351635,0.8959560751914978,0.8143061995506287,0.9265955090522766,0.04619984558165735,5,65,21,7,2,1
concrete_slump_test,two_stage_mlp,2.640975093841553,1.9263200759887693,3.7760090827941895,0.6831591048358789,1.994923210144043,1.4464216232299805,2.996420860290528,0.5865904968631872,0.876653254032135,0.7251456379890442,0.9551991820335388,0.08837404651359303,5,65,21,7,2,1
concrete_slump_test,oracle_mlp,2.867056202888489,1.9667729139328003,4.627485752105713,1.0802271868406188,2.315611982345581,1.4839600324630735,3.7792983055114746,0.9240078791705616,0.8427547574043274,0.5872122049331665,0.953297793865204,0.14892974317415117,5,65,21,7,2,1
concrete_slump_test,prism_z_xgboost,3.1937450093939965,2.735594421433135,4.236496819691065,0.6146472826683101,2.5401920845539516,1.9216906074619395,3.4802436018902263,0.5758232529055257,0.8313075105027459,0.6966229316953573,0.906310270249972,0.08288369883096733,5,65,21,7,2,1
concrete_slump_test,prism_z_acp_xgboost,3.2648203360339503,2.7623872736756137,4.1451440641062245,0.5388792910916784,2.5532731770934722,1.9461482242517063,3.397134464220928,0.5457677281922361,0.8252070866816237,0.7095654766488815,0.8966490830555115,0.07577992934053696,5,65,21,7,2,1
concrete_slump_test,prism_z_acp_lightgbm,3.2943229708351884,2.810640025748487,4.087041612809522,0.5013086301625802,2.5522365487089376,1.8551120255023388,3.389666223497681,0.5556908797244119,0.8193555523637593,0.6780008650563378,0.8949818289285639,0.08762570732743755,5,65,21,7,2,1
concrete_slump_test,prism_z_lightgbm,3.3210327825479267,2.790040107522065,4.139378462675772,0.5329251978137886,2.559808558799638,1.804313545948555,3.449203728906728,0.6051628246156454,0.815572719127875,0.6697013054649914,0.8978444474272514,0.09160933018053456,5,65,21,7,2,1
concrete_slump_test,xgboost,3.725587772129086,2.6572827254255613,4.641128223027024,0.7753385925881808,2.8150554018123612,1.9333749199190595,3.270231794541716,0.5511710224882564,0.7766020882991004,0.6993349108495025,0.8982701943644041,0.08301786593859649,5,65,21,7,2,1
concrete_slump_test,prism_z_acp_random_forest,3.8655909995690494,3.2992009217310088,4.773290353176355,0.6212029393087962,3.0211707264452476,2.395939361587576,3.99626468259103,0.6218007887551804,0.7583664856259872,0.6148723618724465,0.8467816398167523,0.0954170083218239,5,65,21,7,2,1
concrete_slump_test,prism_z_random_forest,3.877473603502088,3.3489997370039,4.848446812283691,0.6684193718035243,3.059810705949343,2.3416837986225745,4.062929756609724,0.6659735198083959,0.7554075547752694,0.6026490531533073,0.8489067759389134,0.10288246958346839,5,65,21,7,2,1
concrete_slump_test,random_forest,4.226851230633651,3.7705546691196288,4.658093291201025,0.35723954077224784,3.2249536368477165,2.757636109904994,3.593423630039628,0.30348360836141075,0.7172919567551945,0.6332371446076035,0.7951749025285543,0.06803559931548564,5,65,21,7,2,1
concrete_slump_test,lightgbm,4.538555471025619,3.372075978474574,5.103372218896935,0.6916242954013904,3.829823994222617,2.561303116507241,4.610159833556078,0.7882412386122261,0.6649078084828414,0.5757247276904445,0.8361798236515238,0.12177934032501915,5,65,21,7,2,1
concrete_slump_test,cnn_mlp,4.614591991292493,3.494425399207454,5.75833955494202,0.9474132765866106,3.364445744005162,2.243557892761399,4.618582083258121,0.90664825501746,0.6357536609825224,0.3608083000250828,0.8525717755242639,0.19515772063491643,5,65,21,7,2,1
concrete_slump_test,ftt_mlp,4.675699238145802,3.762638238111731,5.937350509591422,0.9023197794537254,3.7987865234526055,2.942263578040302,4.669923076205733,0.7197992302992947,0.6305316299424841,0.3204491468288788,0.7960340766871701,0.20318904971431032,5,65,21,7,2,1
energy_efficiency,prism,0.9864282250404358,0.8060698509216309,1.0990636348724363,0.11471096249631611,0.6602349519729614,0.5812156796455383,0.7053552269935608,0.04716625187326735,0.9889649987220764,0.9869768619537354,0.9922341704368592,0.0021598950435105205,5,491,154,8,1,1
energy_efficiency,xgboost,1.1867376306438169,1.0564557555292466,1.3633260662399471,0.11152154214486208,0.7704590246976365,0.6559851282286353,0.8743596312353272,0.09158109842855455,0.9840681216862996,0.9800328649823828,0.9866602786181412,0.002551505405512892,5,491,154,8,1,1
energy_efficiency,lightgbm,1.2051091047352205,1.0396759970300913,1.3430100686306965,0.12374688967986819,0.8186663114452717,0.6460977491721208,0.9196989176047012,0.11426180806568513,0.9835347990971373,0.980230000017238,0.9870806647829728,0.003025853850693589,5,491,154,8,1,1
energy_efficiency,oracle_mlp,1.2736500740051269,1.118715763092041,1.3614851236343384,0.09409295463532381,0.890817129611969,0.7568193078041077,0.9768837094306946,0.08555134117349178,0.9815826296806336,0.9797077178955078,0.9865069389343262,0.0028578225782314314,5,491,154,8,1,1
energy_efficiency,simple_mlp,1.346858763694763,1.153247594833374,1.4617743492126465,0.11991276952305926,0.9243097305297852,0.7776873111724854,1.0768333673477173,0.11868686739021136,0.97947758436203,0.975471258163452,0.9841039180755616,0.0031063349599324305,5,491,154,8,1,1
energy_efficiency,cnn_mlp,1.4444564405710665,1.387699817735242,1.5321419472414697,0.05524640862731038,0.992930659023247,0.925386364964746,1.1018849599860667,0.0666777426625102,0.9764695301627941,0.9747817884361284,0.9778942348394648,0.0011645103179948753,5,491,154,8,1,1
energy_efficiency,prism_z_acp_lightgbm,1.5171566148807467,1.360007956608993,1.7132194518956636,0.14694637046082779,0.959588180547752,0.8551835973597203,1.0377654713874982,0.07214159988492333,0.973972337649551,0.9684686713312126,0.9780789194626912,0.004116427033205086,5,491,154,8,1,1
energy_efficiency,prism_z_acp_xgboost,1.5305677826822504,1.3642147591750056,1.6842880774455702,0.14511475871800233,0.9870271305256191,0.8687875854046777,1.0994829362764211,0.0901582807030209,0.9734583690312381,0.9675617083913344,0.977756167329256,0.004583774177946437,5,491,154,8,1,1
energy_efficiency,prism_z_xgboost,1.58928861373609,1.4953950802370268,1.657094812901156,0.07094784118505132,1.0328551876809755,0.972464939803316,1.0806101159937636,0.038733586443523246,0.9715165276147365,0.969414249428746,0.9732726422424404,0.0016608578556662236,5,491,154,8,1,1
energy_efficiency,prism_z_lightgbm,1.6081533784442297,1.4120346119438163,1.6960029475995604,0.11344695538850585,1.0250635338527772,1.0018658993206222,1.0640650917592336,0.023230174919425632,0.9707407489238215,0.9672479427754572,0.977089158945861,0.003739551980224135,5,491,154,8,1,1
