dataset,model,mean_mse,min_mse,max_mse,std_mse,mean_rmse,std_rmse,mean_r2,std_r2,n_seeds,n_train,n_test,n_features,n_intermediates,n_targets,target_mse_json_mean
energy_efficiency,prism_z_acp_xgboost,2.3594843719430876,1.8610819091509185,2.836826327825295,0.4471247576208736,1.5305677826822504,0.14511475871800233,0.9734583690312381,0.004583774177946437,5,491,154,8,1,1,"{""target_cooling_load"": 2.3594843719430876}"
energy_efficiency,prism_z_xgboost,2.5298651746862384,2.236206445997104,2.7459632189439174,0.22355876371807348,1.58928861373609,0.07094784118505132,0.9715165276147365,0.0016608578556662236,5,491,154,8,1,1,"{""target_cooling_load"": 2.5298651746862384}"
energy_efficiency,prism_z_lightgbm,2.5964534579511267,1.9938417453273245,2.8764259982663973,0.35041627923939467,1.6081533784442297,0.11344695538850585,0.9707407489238215,0.003739551980224135,5,491,154,8,1,1,"{""target_cooling_load"": 2.5964534579511267}"
energy_efficiency,two_stage_mlp,3.007265901226327,1.3217466020989974,7.775506602945882,2.707467289219737,1.626368474960327,0.6728590908220932,0.9659945607185364,0.031212666269333424,5,491,154,8,1,1,"{""target_cooling_load"": 3.007265901226327}"
energy_efficiency,random_forest,3.1743828752978165,2.373506586979108,3.7138717934058776,0.5880563561635614,1.77524360419302,0.1691634604073542,0.9641717576831944,0.006637124823318112,5,491,154,8,1,1,"{""target_cooling_load"": 3.1743828752978165}"
energy_efficiency,prism_z_acp_random_forest,3.249206636405467,2.6283778056437073,4.052761889728505,0.6089942359046381,1.7963559559051443,0.16700267995447823,0.9634509463019828,0.006115769731471085,5,491,154,8,1,1,"{""target_cooling_load"": 3.249206636405467}"
energy_efficiency,prism_z_random_forest,3.7045841338623084,3.396789750558313,4.364331696065527,0.39691626597791524,1.9226183148738385,0.10076550236806324,0.9582376953427889,0.004067430170334806,5,491,154,8,1,1,"{""target_cooling_load"": 3.7045841338623084}"
energy_efficiency,ftt_mlp,6.608658642517301,5.640320010982624,7.546062934091361,0.7157451264103102,2.567687843304889,0.13981139913106513,0.9255694629396214,0.0065905430131050526,5,491,154,8,1,1,"{""target_cooling_load"": 6.6086586425173}"
household_power_consumption,oracle_mlp,0.0028316630274381276,0.0028163799627380914,0.002848968782938624,1.400894273535499e-05,0.053213242441415745,0.00013160693956504,0.3611975908279419,0.003160344337601493,5,19133,10251,9,3,1,"{""target_global_reactive_power"": 0.0028316630274381276}"
household_power_consumption,prism,0.0030774925840822698,0.0030131852195039444,0.0031195694589497003,4.204753935862375e-05,0.05547411292791362,0.0003797679280687086,0.3057402729988098,0.009485634795440063,5,19133,10251,9,3,1,"{""target_global_reactive_power"": 0.0030774925840822698}"
household_power_consumption,lightgbm,0.0033246822325270617,0.00331551941179778,0.003337459112629322,8.78581946839639e-06,0.05766001726746443,7.616792929186871e-05,0.2499760943057936,0.0019820327813486653,5,19133,10251,9,3,1,"{""target_global_reactive_power"": 0.0033246822325270617}"
household_power_consumption,xgboost,0.003369744670537836,0.0033528329409679555,0.0033911007096192897,1.881945054085209e-05,0.058049320968425376,0.00016204028263353709,0.23981033905787882,0.004245544227741048,5,19133,10251,9,3,1,"{""target_global_reactive_power"": 0.003369744670537836}"
household_power_consumption,random_forest,0.003488136351386697,0.003467629707890106,0.003497431157451186,1.1819782899069324e-05,0.059060378642234325,0.00010016250924279005,0.21310204505338765,0.002666443278078646,5,19133,10251,9,3,1,"{""target_global_reactive_power"": 0.0034881363513866977}"
household_power_consumption,simple_mlp,0.0036158561912947667,0.0031801357143313447,0.0039192947318472116,0.0003747973429838395,0.060065943747758824,0.003150117653722318,0.18428936004638669,0.08455156010831141,5,19133,10251,9,3,1,"{""target_global_reactive_power"": 0.0036158561912947667}"
household_power_consumption,prism_z_acp_xgboost,0.003646312235187542,0.00362720237735705,0.003671988759107865,1.7098205218160687e-05,0.06038456935415112,0.00014150574744875317,0.17741872673652356,0.003857240772640952,5,19133,10251,9,3,1,"{""target_global_reactive_power"": 0.003646312235187542}"
household_power_consumption,prism_z_xgboost,0.0036880604570239174,0.0036794615566316806,0.003700105906023502,8.138778662512763e-06,0.06072937400325638,6.69906385090953e-05,0.1680006343670289,0.00183606715736988,5,19133,10251,9,3,1,"{""target_global_reactive_power"": 0.0036880604570239174}"
household_power_consumption,prism_z_acp_lightgbm,0.003701915233674344,0.0036876288551497298,0.003732939212464793,1.8233596552783175e-05,0.0608432191593223,0.00014964961164503268,0.16487509843900844,0.004113379281174221,5,19133,10251,9,3,1,"{""target_global_reactive_power"": 0.003701915233674344}"
household_power_consumption,prism_z_random_forest,0.00371265139563398,0.0036924776021838275,0.0037310775960936655,1.820389720209866e-05,0.060931383816128934,0.00014942341498530654,0.16245309909687017,0.004106683585934306,5,19133,10251,9,3,1,"{""target_global_reactive_power"": 0.00371265139563398}"
household_power_consumption,prism_z_acp_random_forest,0.0037164815049537774,0.003694308511763399,0.003733314528777712,1.474339193679115e-05,0.06096285587708424,0.00012097656604411032,0.16158905463598713,0.00332599641995216,5,19133,10251,9,3,1,"{""target_global_reactive_power"": 0.0037164815049537774}"
household_power_consumption,prism_z_lightgbm,0.003729671552654588,0.003710565296338475,0.003765503728925004,2.194363618697003e-05,0.06107082604041686,0.0001794414797488083,0.15861347667667108,0.004950325343875791,5,19133,10251,9,3,1,"{""target_global_reactive_power"": 0.003729671552654588}"
household_power_consumption,cnn_mlp,0.0037383698201792896,0.003301751222317753,0.003893618318189477,0.0002458424123108238,0.0611145451304954,0.0020561473901225067,0.1566512119733439,0.0554602328143913,5,19133,10251,9,3,1,"{""target_global_reactive_power"": 0.0037383698201792896}"
