dataset,model,mean_rmse,std_rmse,mean_mae,mean_r2,std_r2,n_seeds,n_train,n_test,n_features,n_intermediates,n_targets
electrical_grid_stability,cnn_mlp,0.03258118031227224,0.0005230743262649094,0.027244956209016107,0.2202187663297373,0.012816448462177782,5,6400,2000,3,9,1
electrical_grid_stability,simple_mlp,0.03264332041144371,0.0006204069827960434,0.027307798340916633,0.21729992628097533,0.013321321234265366,5,6400,2000,3,9,1
electrical_grid_stability,two_stage_mlp,0.03265825212001801,0.0005730330797837079,0.02730209119617939,0.21655375957489015,0.013058320052021224,5,6400,2000,3,9,1
electrical_grid_stability,xgboost,0.03288786283047106,0.0005384439571487669,0.02752032897718538,0.20547636115572354,0.013100981900728082,5,6400,2000,3,9,1
electrical_grid_stability,prism_z_acp_xgboost,0.03298351846085949,0.0006247455959728851,0.027551969737715714,0.2008906535342608,0.0141543367195126,5,6400,2000,3,9,1
electrical_grid_stability,prism_z_xgboost,0.03306443023471818,0.0006433329291015442,0.02758102173774063,0.19699077930171324,0.013308400622896866,5,6400,2000,3,9,1
electrical_grid_stability,lightgbm,0.03363040006077212,0.0006395258021285864,0.028071448751317635,0.1689575028726517,0.02872140373044496,5,6400,2000,3,9,1
electrical_grid_stability,prism_z_acp_lightgbm,0.033658007982542024,0.0006032532077626116,0.027946260406273283,0.16782467793542138,0.016340306628852858,5,6400,2000,3,9,1
electrical_grid_stability,prism_z_lightgbm,0.033710269088320706,0.0005444796837438182,0.028024495798005634,0.1652352327274877,0.013870836890063003,5,6400,2000,3,9,1
electrical_grid_stability,prism_z_acp_random_forest,0.03392558697429808,0.0005657831932585083,0.028114538990539183,0.15454182772194033,0.014580211983976785,5,6400,2000,3,9,1
electrical_grid_stability,prism_z_random_forest,0.03393713801277522,0.0006262680144029916,0.02814217937273409,0.1540152924531132,0.01407031149694914,5,6400,2000,3,9,1
electrical_grid_stability,random_forest,0.03412058830357577,0.0006268989091420514,0.028395681527736184,0.14475568553771384,0.0197569115290112,5,6400,2000,3,9,1
energy_efficiency,prism,0.9864282250404358,0.11471096249631615,0.6602349519729614,0.9889649987220764,0.0021598950435104693,5,491,154,8,1,1
energy_efficiency,xgboost,1.1867376306438169,0.11152154214486201,0.7704590246976365,0.9840681216862996,0.0025515054055129335,5,491,154,8,1,1
energy_efficiency,lightgbm,1.2051091047352205,0.12374688967986812,0.8186663114452717,0.9835347990971373,0.0030258538506935917,5,491,154,8,1,1
energy_efficiency,oracle_mlp,1.2736500740051269,0.09409295463532381,0.890817129611969,0.9815826296806336,0.0028578225782314322,5,491,154,8,1,1
energy_efficiency,simple_mlp,1.346858763694763,0.11991276952305926,0.9243097305297852,0.97947758436203,0.0031063349599323386,5,491,154,8,1,1
energy_efficiency,cnn_mlp,1.4444564405710665,0.055246408627310284,0.992930659023247,0.9764695301627941,0.0011645103179949664,5,491,154,8,1,1
energy_efficiency,prism_z_acp_lightgbm,1.5171566148807467,0.14694637046082779,0.9595881805477517,0.973972337649551,0.004116427033205086,5,491,154,8,1,1
energy_efficiency,prism_z_acp_xgboost,1.5305677826822504,0.14511475871800233,0.9870271305256191,0.9734583690312381,0.004583774177946374,5,491,154,8,1,1
energy_efficiency,prism_z_xgboost,1.58928861373609,0.07094784118505126,1.0328551876809755,0.9715165276147365,0.0016608578556662865,5,491,154,8,1,1
energy_efficiency,prism_z_lightgbm,1.6081533784442297,0.11344695538850581,1.0250635338527772,0.9707407489238215,0.003739551980224082,5,491,154,8,1,1
energy_efficiency,two_stage_mlp,1.626368474960327,0.672859090822093,1.17126407623291,0.9659945607185364,0.031212666269333427,5,491,154,8,1,1
energy_efficiency,random_forest,1.77524360419302,0.1691634604073542,1.0980066888825315,0.9641717576831944,0.006637124823318101,5,491,154,8,1,1
energy_efficiency,prism_z_acp_random_forest,1.7963559559051443,0.16700267995447832,1.1608306046120414,0.9634509463019828,0.006115769731471085,5,491,154,8,1,1
energy_efficiency,prism_z_random_forest,1.9226183148738385,0.1007655023680632,1.2374581845503692,0.9582376953427889,0.004067430170334806,5,491,154,8,1,1
energy_efficiency,ftt_mlp,2.567687843304889,0.13981139913106513,1.9817421907308308,0.9255694629396214,0.006590543013105035,5,491,154,8,1,1
gas_sensor_drift_concentration,oracle_mlp,3.8468053340911865,0.654394996292599,1.6259014129638671,0.9885897517204285,0.0018868213206866726,5,8902,2782,33,96,7
gas_sensor_drift_concentration,prism_z_acp_random_forest,4.205159971240735,0.7803557105177702,1.2368157969021958,0.9807470895206576,0.001605601981177689,5,8902,2782,33,96,7
gas_sensor_drift_concentration,prism_z_acp_lightgbm,4.234750412574393,0.7727340644734199,1.490044004033556,0.9805791087871671,0.0022796000805794464,5,8902,2782,33,96,7
gas_sensor_drift_concentration,prism_z_acp_xgboost,4.297386603606588,0.7746950476302915,1.8034462276287186,0.9801356653776778,0.00244131451965381,5,8902,2782,33,96,7
gas_sensor_drift_concentration,prism_z_lightgbm,4.3686682800092305,0.7230225208670428,1.5577832586000486,0.9802449494165932,0.0019430524971627793,5,8902,2782,33,96,7
gas_sensor_drift_concentration,prism_z_random_forest,4.3742796010929395,0.8053633120784475,1.3403775108531928,0.98059728327685,0.0018104686833580565,5,8902,2782,33,96,7
gas_sensor_drift_concentration,two_stage_mlp,4.398755931854248,0.4922630788238595,1.986661148071289,0.981279456615448,0.003016716254137379,5,8902,2782,33,96,7
gas_sensor_drift_concentration,prism_z_xgboost,4.500629195507437,0.7466798130353377,1.9175544576258567,0.9798181369358258,0.002429296471357128,5,8902,2782,33,96,7
gas_sensor_drift_concentration,simple_mlp,4.50499382019043,0.6275395706271364,1.9431408882141112,0.9835773706436157,0.0028676282086106124,5,8902,2782,33,96,7
gas_sensor_drift_concentration,prism,4.572245407104492,0.2631920318384253,1.4837155103683473,0.9853190064430237,0.0011971879789897783,5,8902,2782,33,96,7
gas_sensor_drift_concentration,lightgbm,4.651514327613816,0.6633912971911095,1.952629897255616,0.9617843278460791,0.0023092410929478283,5,8902,2782,33,96,7
gas_sensor_drift_concentration,cnn_mlp,5.2576588969642195,0.6106153406863812,2.4349187004355164,0.9689406439723574,0.001421042666643741,5,8902,2782,33,96,7
gas_sensor_drift_concentration,random_forest,5.2675823951211305,0.9142473942622057,1.6523418761643682,0.9599809353776235,0.0024769029648973005,5,8902,2782,33,96,7
gas_sensor_drift_concentration,xgboost,5.294772123239704,0.5758057877597502,2.6322311102388096,0.941323086044212,0.0012034609850104189,5,8902,2782,33,96,7
gas_sensor_drift_concentration,ftt_mlp,5.491779838759507,0.8576080531952408,2.4617865787559383,0.9672641238212532,0.007701084683540688,5,8902,2782,33,96,7
gas_sensor_flow_modulation,prism,0.051420503109693524,0.07067562897545496,0.030507941730320454,0.8719076335430145,0.2674284549229466,5,36,12,30,432,2
gas_sensor_flow_modulation,simple_mlp,0.06017136014997959,0.0880407561489185,0.039512818306684495,0.4756762862205505,1.1578845116895857,5,36,12,30,432,2
gas_sensor_flow_modulation,ftt_mlp,0.07152227109535476,0.08135028333463962,0.0414299343609069,0.8302095993659602,0.3037991411671556,5,36,12,30,432,2
