dataset,seed,model,n_rows,n_train,n_val,n_test,n_features,n_intermediates,n_targets,mean_rmse,mean_mae,mean_r2,target_rmse_json,target_r2_json,dropped_all_nan_cols,split_group_col,train_val_group_overlap,train_test_group_overlap,val_test_group_overlap,target_constant_within_group
airfoil_self_noise,5,two_stage_mlp,1503,961,241,301,4,1,1,2.973121404647827,2.0982303619384766,0.8117734789848328,"{""target_scaled_sound_pressure_level"": 2.973121404647827}","{""target_scaled_sound_pressure_level"": 0.8117734789848328}",,,0,0,0,False
airfoil_self_noise,5,oracle_mlp,1503,961,241,301,4,1,1,2.606245517730713,1.87265145778656,0.855360746383667,"{""target_scaled_sound_pressure_level"": 2.606245517730713}","{""target_scaled_sound_pressure_level"": 0.855360746383667}",,,0,0,0,False
airfoil_self_noise,5,prism,1503,961,241,301,4,1,1,1.5258268117904663,1.0754258632659912,0.9504246115684509,"{""target_scaled_sound_pressure_level"": 1.5258268117904663}","{""target_scaled_sound_pressure_level"": 0.9504246115684509}",,,0,0,0,False
airfoil_self_noise,5,prism_z_acp_random_forest,1503,961,241,301,4,1,1,2.5042990277196497,1.8230218717179172,0.8664549083504268,"{""target_scaled_sound_pressure_level"": 2.5042990277196497}","{""target_scaled_sound_pressure_level"": 0.8664549083504268}",,,0,0,0,False
airfoil_self_noise,5,prism_z_acp_xgboost,1503,961,241,301,4,1,1,2.4001050474179895,1.738454149519864,0.8773362998025402,"{""target_scaled_sound_pressure_level"": 2.4001050474179895}","{""target_scaled_sound_pressure_level"": 0.8773362998025402}",,,0,0,0,False
airfoil_self_noise,5,prism_z_acp_lightgbm,1503,961,241,301,4,1,1,2.422146478862911,1.6411050776208556,0.875072983688035,"{""target_scaled_sound_pressure_level"": 2.422146478862911}","{""target_scaled_sound_pressure_level"": 0.875072983688035}",,,0,0,0,False
airfoil_self_noise,5,prism_z_random_forest,1503,961,241,301,4,1,1,2.498781098740373,1.8234962016112326,0.8670427618736877,"{""target_scaled_sound_pressure_level"": 2.498781098740373}","{""target_scaled_sound_pressure_level"": 0.8670427618736877}",,,0,0,0,False
airfoil_self_noise,5,prism_z_xgboost,1503,961,241,301,4,1,1,2.437735302123105,1.7785777230157194,0.8734597599685889,"{""target_scaled_sound_pressure_level"": 2.437735302123105}","{""target_scaled_sound_pressure_level"": 0.8734597599685889}",,,0,0,0,False
airfoil_self_noise,5,prism_z_lightgbm,1503,961,241,301,4,1,1,2.4800113912433996,1.6870491436764259,0.8690326886284939,"{""target_scaled_sound_pressure_level"": 2.4800113912433996}","{""target_scaled_sound_pressure_level"": 0.8690326886284939}",,,0,0,0,False
energy_efficiency,1,simple_mlp,768,491,123,154,8,1,1,1.4098917245864868,1.006791353225708,0.9786455631256104,"{""target_cooling_load"": 1.4098917245864868}","{""target_cooling_load"": 0.9786455631256104}",,,0,0,0,False
energy_efficiency,1,random_forest,768,491,123,154,8,1,1,1.9271408338276363,1.2614788598671727,0.9601027294867202,"{""target_cooling_load"": 1.9271408338276363}","{""target_cooling_load"": 0.9601027294867202}",,,0,0,0,False
energy_efficiency,1,xgboost,768,491,123,154,8,1,1,1.3633260662399471,0.8743596312353272,0.9800328649823827,"{""target_cooling_load"": 1.3633260662399471}","{""target_cooling_load"": 0.9800328649823827}",,,0,0,0,False
energy_efficiency,1,lightgbm,768,491,123,154,8,1,1,1.3430100686306963,0.9172832707101388,0.9806235230868086,"{""target_cooling_load"": 1.3430100686306963}","{""target_cooling_load"": 0.9806235230868086}",,,0,0,0,False
energy_efficiency,1,cnn_mlp,768,491,123,154,8,1,1,1.5321419472414695,0.9967009991819757,0.9747817884361283,"{""target_cooling_load"": 1.5321419472414695}","{""target_cooling_load"": 0.9747817884361283}",,,0,0,0,False
energy_efficiency,1,ftt_mlp,768,491,123,154,8,1,1,2.747009816890242,2.148996631009373,0.9189343814381976,"{""target_cooling_load"": 2.747009816890242}","{""target_cooling_load"": 0.9189343814381976}",,,0,0,0,False
energy_efficiency,1,two_stage_mlp,768,491,123,154,8,1,1,1.5718154907226562,1.0615288019180298,0.9734588861465454,"{""target_cooling_load"": 1.5718154907226562}","{""target_cooling_load"": 0.9734588861465454}",,,0,0,0,False
energy_efficiency,1,oracle_mlp,768,491,123,154,8,1,1,1.3614851236343384,0.9523680210113525,0.9800867438316345,"{""target_cooling_load"": 1.3614851236343384}","{""target_cooling_load"": 0.9800867438316345}",,,0,0,0,False
energy_efficiency,1,prism,768,491,123,154,8,1,1,1.0109833478927612,0.7053552269935608,0.9890199303627014,"{""target_cooling_load"": 1.0109833478927612}","{""target_cooling_load"": 0.9890199303627014}",,,0,0,0,False
energy_efficiency,1,prism_z_acp_random_forest,768,491,123,154,8,1,1,2.01314725982192,1.3203104169563473,0.9564621111241632,"{""target_cooling_load"": 2.01314725982192}","{""target_cooling_load"": 0.9564621111241632}",,,0,0,0,False
energy_efficiency,1,prism_z_acp_xgboost,768,491,123,154,8,1,1,1.6842880774455702,1.0994829362764211,0.9695246272094264,"{""target_cooling_load"": 1.6842880774455702}","{""target_cooling_load"": 0.9695246272094264}",,,0,0,0,False
