dataset,seed,model,n_rows,n_train,n_val,n_test,n_features,n_intermediates,n_targets,mean_rmse,mean_mae,mean_r2,target_rmse_json,target_r2_json,dropped_all_nan_cols,split_group_col,train_val_group_overlap,train_test_group_overlap,val_test_group_overlap,target_constant_within_group,mean_mse,target_mse_json
parkinsons_telemonitoring,2,ftt_mlp,5875,3587,1039,1249,19,1,1,15.2005195962252,13.788502221551848,-0.226880656606849,"{""target_total_updrs"": 15.200519596225199}","{""target_total_updrs"": -0.22688065660684908}",,ID_subject,0,0,0,False,231.05579599522628,"{""target_total_updrs"": 231.05579599522628}"
parkinsons_telemonitoring,2,two_stage_mlp,5875,3587,1039,1249,19,1,1,17.265098571777344,14.409829139709473,-0.5827909708023071,"{""target_total_updrs"": 17.265098571777344}","{""target_total_updrs"": -0.5827909708023071}",,ID_subject,0,0,0,False,298.0836286931881,"{""target_total_updrs"": 298.0836286931881}"
parkinsons_telemonitoring,2,oracle_mlp,5875,3587,1039,1249,19,1,1,5.967029571533203,4.976833820343018,0.8109390735626221,"{""target_total_updrs"": 5.967029571533203}","{""target_total_updrs"": 0.8109390735626221}",,ID_subject,0,0,0,False,35.60544190755172,"{""target_total_updrs"": 35.60544190755172}"
parkinsons_telemonitoring,2,prism,5875,3587,1039,1249,19,1,1,14.337315559387209,12.497550010681152,-0.0914933681488037,"{""target_total_updrs"": 14.337315559387207}","{""target_total_updrs"": -0.09149336814880371}",,ID_subject,0,0,0,False,205.5586174494465,"{""target_total_updrs"": 205.5586174494465}"
parkinsons_telemonitoring,2,prism_z_acp_random_forest,5875,3587,1039,1249,19,1,1,16.442179767491226,14.114374868734014,-0.4355034362817895,"{""target_total_updrs"": 16.442179767491226}","{""target_total_updrs"": -0.43550343628178956}",,ID_subject,0,0,0,False,270.3452755064978,"{""target_total_updrs"": 270.3452755064978}"
parkinsons_telemonitoring,2,prism_z_acp_xgboost,5875,3587,1039,1249,19,1,1,16.499799170211176,14.135164197810717,-0.4455821216861135,"{""target_total_updrs"": 16.499799170211176}","{""target_total_updrs"": -0.44558212168611355}",,ID_subject,0,0,0,False,272.2433726573014,"{""target_total_updrs"": 272.2433726573014}"
parkinsons_telemonitoring,2,prism_z_acp_lightgbm,5875,3587,1039,1249,19,1,1,16.707063351221937,14.26956594584432,-0.4821279282276749,"{""target_total_updrs"": 16.707063351221937}","{""target_total_updrs"": -0.4821279282276749}",,ID_subject,0,0,0,False,279.1259658217432,"{""target_total_updrs"": 279.1259658217432}"
parkinsons_telemonitoring,2,prism_z_random_forest,5875,3587,1039,1249,19,1,1,16.15901758251976,14.103834302393429,-0.3864855863721366,"{""target_total_updrs"": 16.15901758251976}","{""target_total_updrs"": -0.3864855863721366}",,ID_subject,0,0,0,False,261.1138492321827,"{""target_total_updrs"": 261.1138492321827}"
parkinsons_telemonitoring,2,prism_z_xgboost,5875,3587,1039,1249,19,1,1,16.307268064591863,14.092922409032848,-0.4120428393429642,"{""target_total_updrs"": 16.307268064591863}","{""target_total_updrs"": -0.41204283934296426}",,ID_subject,0,0,0,False,265.92699173045764,"{""target_total_updrs"": 265.92699173045764}"
parkinsons_telemonitoring,2,prism_z_lightgbm,5875,3587,1039,1249,19,1,1,16.697450297199936,14.469027493059167,-0.4804228198506806,"{""target_total_updrs"": 16.697450297199936}","{""target_total_updrs"": -0.4804228198506806}",,ID_subject,0,0,0,False,278.8048464274622,"{""target_total_updrs"": 278.8048464274622}"
parkinsons_telemonitoring,3,simple_mlp,5875,3625,1038,1212,19,1,1,14.613630294799805,12.293795585632324,-0.7483669519424438,"{""target_total_updrs"": 14.613630294799805}","{""target_total_updrs"": -0.7483669519424438}",,ID_subject,0,0,0,False,213.55819039309063,"{""target_total_updrs"": 213.55819039309063}"
parkinsons_telemonitoring,3,random_forest,5875,3625,1038,1212,19,1,1,14.732159814023564,13.424841710432766,-0.776843548481615,"{""target_total_updrs"": 14.732159814023564}","{""target_total_updrs"": -0.776843548481615}",,ID_subject,0,0,0,False,217.03653278593083,"{""target_total_updrs"": 217.03653278593083}"
parkinsons_telemonitoring,3,xgboost,5875,3625,1038,1212,19,1,1,14.259335674759914,12.734609063798912,-0.6646193257897806,"{""target_total_updrs"": 14.259335674759914}","{""target_total_updrs"": -0.6646193257897806}",,ID_subject,0,0,0,False,203.32865388548078,"{""target_total_updrs"": 203.32865388548078}"
parkinsons_telemonitoring,3,lightgbm,5875,3625,1038,1212,19,1,1,13.709690902810904,11.936453460316203,-0.5387627823500152,"{""target_total_updrs"": 13.709690902810905}","{""target_total_updrs"": -0.5387627823500152}",,ID_subject,0,0,0,False,187.9556246506161,"{""target_total_updrs"": 187.9556246506161}"
parkinsons_telemonitoring,3,cnn_mlp,5875,3625,1038,1212,19,1,1,11.633627520724,9.385349829856583,-0.1080175933191633,"{""target_total_updrs"": 11.633627520724}","{""target_total_updrs"": -0.10801759331916339}",,ID_subject,0,0,0,False,135.34128929094683,"{""target_total_updrs"": 135.34128929094683}"
parkinsons_telemonitoring,3,ftt_mlp,5875,3625,1038,1212,19,1,1,14.554372878771224,12.682968395688132,-0.7342166094419436,"{""target_total_updrs"": 14.554372878771224}","{""target_total_updrs"": -0.7342166094419436}",,ID_subject,0,0,0,False,211.82976989431137,"{""target_total_updrs"": 211.82976989431137}"
parkinsons_telemonitoring,3,two_stage_mlp,5875,3625,1038,1212,19,1,1,18.77935218811035,15.710394859313965,-1.887204647064209,"{""target_total_updrs"": 18.77935218811035}","{""target_total_updrs"": -1.887204647064209}",,ID_subject,0,0,0,False,352.66406860508505,"{""target_total_updrs"": 352.66406860508505}"
parkinsons_telemonitoring,3,oracle_mlp,5875,3625,1038,1212,19,1,1,7.364559650421143,5.781182765960693,0.5559724569320679,"{""target_total_updrs"": 7.364559650421143}","{""target_total_updrs"": 0.5559724569320679}",,ID_subject,0,0,0,False,54.23673884461118,"{""target_total_updrs"": 54.23673884461118}"
parkinsons_telemonitoring,3,prism,5875,3625,1038,1212,19,1,1,12.869847297668455,10.115411758422852,-0.3560107946395874,"{""target_total_updrs"": 12.869847297668457}","{""target_total_updrs"": -0.3560107946395874}",,ID_subject,0,0,0,False,165.6329694653041,"{""target_total_updrs"": 165.6329694653041}"
parkinsons_telemonitoring,3,prism_z_acp_random_forest,5875,3625,1038,1212,19,1,1,14.376450168120597,11.40990013031765,-0.6920752518568019,"{""target_total_updrs"": 14.376450168120597}","{""target_total_updrs"": -0.6920752518568019}",,ID_subject,0,0,0,False,206.68231943645475,"{""target_total_updrs"": 206.68231943645475}"
parkinsons_telemonitoring,3,prism_z_acp_xgboost,5875,3625,1038,1212,19,1,1,14.115915165737944,11.206962612107525,-0.631302216312611,"{""target_total_updrs"": 14.115915165737944}","{""target_total_updrs"": -0.631302216312611}",,ID_subject,0,0,0,False,199.25906096631047,"{""target_total_updrs"": 199.25906096631047}"
parkinsons_telemonitoring,3,prism_z_acp_lightgbm,5875,3625,1038,1212,19,1,1,14.576678492030409,11.563735229768149,-0.7395363037175866,"{""target_total_updrs"": 14.576678492030409}","{""target_total_updrs"": -0.7395363037175866}",,ID_subject,0,0,0,False,212.47955586002192,"{""target_total_updrs"": 212.47955586002192}"
parkinsons_telemonitoring,3,prism_z_random_forest,5875,3625,1038,1212,19,1,1,14.118581025135164,11.509344337137971,-0.631918433247914,"{""target_total_updrs"": 14.118581025135164}","{""target_total_updrs"": -0.631918433247914}",,ID_subject,0,0,0,False,199.3343301633067,"{""target_total_updrs"": 199.3343301633067}"
parkinsons_telemonitoring,3,prism_z_xgboost,5875,3625,1038,1212,19,1,1,13.881865720130747,11.25371105756793,-0.5776549527948136,"{""target_total_updrs"": 13.881865720130747}","{""target_total_updrs"": -0.5776549527948136}",,ID_subject,0,0,0,False,192.70619587174116,"{""target_total_updrs"": 192.70619587174116}"
parkinsons_telemonitoring,3,prism_z_lightgbm,5875,3625,1038,1212,19,1,1,14.338279176265564,11.56524565885594,-0.6831019036835835,"{""target_total_updrs"": 14.338279176265564}","{""target_total_updrs"": -0.6831019036835835}",,ID_subject,0,0,0,False,205.5862497365307,"{""target_total_updrs"": 205.5862497365307}"
parkinsons_telemonitoring,4,simple_mlp,5875,3583,1023,1269,19,1,1,12.412559509277344,9.216659545898438,-0.1502332687377929,"{""target_total_updrs"": 12.412559509277344}","{""target_total_updrs"": -0.15023326873779297}",,ID_subject,0,0,0,False,154.0716335713514,"{""target_total_updrs"": 154.0716335713514}"
parkinsons_telemonitoring,4,random_forest,5875,3583,1023,1269,19,1,1,11.105241166140928,9.741003458207343,0.079297702436368,"{""target_total_updrs"": 11.105241166140928}","{""target_total_updrs"": 0.07929770243636802}",,ID_subject,0,0,0,False,123.32638135815112,"{""target_total_updrs"": 123.32638135815112}"
parkinsons_telemonitoring,4,xgboost,5875,3583,1023,1269,19,1,1,9.61780168522299,8.187140145752778,0.3094186046503306,"{""target_total_updrs"": 9.61780168522299}","{""target_total_updrs"": 0.30941860465033066}",,ID_subject,0,0,0,False,92.50210925627817,"{""target_total_updrs"": 92.50210925627817}"
parkinsons_telemonitoring,4,lightgbm,5875,3583,1023,1269,19,1,1,10.924183055351405,9.496514288183084,0.1090749374821407,"{""target_total_updrs"": 10.924183055351405}","{""target_total_updrs"": 0.1090749374821407}",,ID_subject,0,0,0,False,119.33777542682675,"{""target_total_updrs"": 119.33777542682675}"
parkinsons_telemonitoring,4,cnn_mlp,5875,3583,1023,1269,19,1,1,11.613543778426212,8.95515154297482,-0.0069148852036806,"{""target_total_updrs"": 11.613543778426212}","{""target_total_updrs"": -0.006914885203680665}",,ID_subject,0,0,0,False,134.8743990934222,"{""target_total_updrs"": 134.8743990934222}"
